channelName,channelUrl,date,dislikes,duration,id,likes,numberOfSubscribers,title,url,viewCount
PBS NewsHour,https://www.youtube.com/channel/UC6ZFN9Tx6xh-skXCuRHCDpQ,2021-01-20T00:00:00+00:00,893,3:03,yQlrRb3Az10,4200,2420000,WATCH: Garth Brooks sings ‘Amazing Grace’ for Biden inauguration,https://www.youtube.com/watch?v=yQlrRb3Az10,398315
Dua Lipa,https://www.youtube.com/channel/UC-J-KZfRV8c13fOCkhXdLiQ,2017-07-07T00:00:00+00:00,605000,3:45,k2qgadSvNyU,13000000,16600000,Dua Lipa - New Rules (Official Music Video),https://www.youtube.com/watch?v=k2qgadSvNyU,2333303405
Rodgers &amp; Hammerstein,https://www.youtube.com/channel/UCrTfANCts5enz7j-KBo2fnw,2018-08-03T00:00:00+00:00,5800,2:19,drnBMAEA3AM,130000,163000,"""Do-Re-Mi"" - THE SOUND OF MUSIC (1965)",https://www.youtube.com/watch?v=drnBMAEA3AM,17589283
News 19 WLTX,https://www.youtube.com/channel/UCVaXclURQZlakiTMzuwHvRw,2021-01-20T00:00:00+00:00,394,0:06,59k3b6v-jek,1700,102000,Garth Brooks sings Amazing Grace at Joe Biden inauguration: raw video,https://www.youtube.com/watch?v=59k3b6v-jek,149128
Bon Jovi,https://www.youtube.com/channel/UCkBwnm7GOfYHsacwUjriC-w,2009-06-17T00:00:00+00:00,114000,0:15,lDK9QqIzhwk,3100000,5690000,Bon Jovi - Livin' On A Prayer (Official Music Video),https://www.youtube.com/watch?v=lDK9QqIzhwk,755359500
Bebe Rexha,https://www.youtube.com/channel/UC5-gWZXAQqSGVfPHkA7NRiQ,2017-10-23T00:00:00+00:00,244000,2:58,zDo0H8Fm7d0,4200000,8250000,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],https://www.youtube.com/watch?v=zDo0H8Fm7d0,965261885
Jason Derulo,https://www.youtube.com/channel/UCe3yZzUwpmy2eKKmF9svX0Q,2020-07-26T00:00:00+00:00,74000,2:53,sQR2-Q-k_9Y,1500000,14800000,Savage Love - GMA - Live Music Video,https://www.youtube.com/watch?v=sQR2-Q-k_9Y,84298658
Scorpions,https://www.youtube.com/channel/UCcvnDgwSH5Dl2b3Bxfz4OCQ,2009-11-01T00:00:00+00:00,130000,0:15,n4RjJKxsamQ,3300000,2710000,Scorpions - Wind Of Change (Official Music Video),https://www.youtube.com/watch?v=n4RjJKxsamQ,821584565
Adam Neely,https://www.youtube.com/channel/UCnkp4xDOwqqJD7sSM3xdUiQ,2021-01-19T00:00:00+00:00,251,15:53,m1ovAB4vKzw,20000,1210000,The Music Theory of Tik Tok Sea Shanties,https://www.youtube.com/watch?v=m1ovAB4vKzw,236755
Sweet Waves,https://www.youtube.com/channel/UC_BrWk74yF67_M0a9Kn9Pwg,Invalid date,11,0:06,j--sDeggc7Y,324,0,Throw Stress Away with Relaxing Piano Music &amp; Beautiful Nature - Sleep Music &amp; Stress Relief Music,https://www.youtube.com/watch?v=j--sDeggc7Y,37477
HALIDONMUSIC,https://www.youtube.com/channel/UCyOfqgtsQaM3S-VZnsYnHjQ,2021-01-20T00:00:00+00:00,5,2:16:48,04s4lXeF3CM,1000,2440000,Classical Romance - Romantic Pieces of Classical Music,https://www.youtube.com/watch?v=04s4lXeF3CM,23947
TODAY,https://www.youtube.com/channel/UChDKyKQ59fYz3JO2fl0Z6sg,2021-01-20T00:00:00+00:00,25000,0:15,HezPdHTwdGA,84000,2750000,Watch Lady Gaga Perform The National Anthem At Biden’s Inauguration | TODAY,https://www.youtube.com/watch?v=HezPdHTwdGA,4080726
7even EDM,https://www.youtube.com/channel/UCviuCQka5ondw2VNszPIzsA,2021-01-19T00:00:00+00:00,52,1:18:54,0qityXJJxe4,1900,0,"Best Music Mix 2021 ♫ Best of EDM Gaming Music NCS ♫ Trap, Bass, Dubstep, DnB, House",https://www.youtube.com/watch?v=0qityXJJxe4,114575
Sony Music India,https://www.youtube.com/channel/UC56gTxNs4f9xZ7Pa2i5xNzg,2021-01-19T00:00:00+00:00,5400,4:10,Hy4irbzvWHI,234000,41400000,Dino James - Chemicals feat. Kaprila (Prod. Bluish Music) | Official Music Video,https://www.youtube.com/watch?v=Hy4irbzvWHI,3508797
Fearless Records,https://www.youtube.com/channel/UCKMYrg58k3muz90hG0OSVhA,2021-01-19T00:00:00+00:00,86,4:35,tns_LUxPRo0,6800,2070000,August Burns Red - Standing In The Storm (Official Music Video),https://www.youtube.com/watch?v=tns_LUxPRo0,92915
